date,tests,cases
03/15/20,289,35
03/22/20,213,44
03/29/20,161,23
04/05/20,135,10
04/12/20,130,4
04/19/20,151,6
04/26/20,146,2
05/03/20,186,4
05/10/20,177,1
05/17/20,175,3
05/24/20,186,1
05/31/20,204,1
06/07/20,367,5
06/14/20,499,21
06/21/20,381,10
06/28/20,473,10
07/05/20,680,15
07/12/20,678,15
07/19/20,613,21
07/26/20,895,29
08/02/20,1168,15
08/09/20,1050,12
08/16/20,1045,15
08/23/20,2204,41
08/30/20,2044,37
09/06/20,2218,63
09/13/20,3372,124
09/20/20,3640,289
09/27/20,4115,142
10/04/20,4269,221
10/11/20,5953,410
10/18/20,6907,333
10/25/20,6530,185
11/01/20,6423,262
11/08/20,7348,237
11/15/20,12416,276
11/22/20,3957,133
11/29/20,6658,134
12/06/20,6184,146
12/13/20,7141,104
12/20/20,1674,73
12/27/20,2181,80
01/03/21,4601,140
01/10/21,6866,156
01/17/21,16560,183
01/24/21,21907,334
01/31/21,21720,301
02/07/21,22770,369
02/14/21,23429,213
02/21/21,23368,114
02/28/21,24235,53
03/07/21,23050,66
03/14/21,22118,68
03/21/21,22002,193
03/28/21,21649,222
04/04/21,21885,192
04/11/21,20678,129
04/18/21,16706,59
04/25/21,15523,29
05/02/21,7458,21
05/09/21,4210,9
05/16/21,1923,8
05/23/21,1360,6
05/30/21,1151,2
06/06/21,1006,5
06/13/21,883,5
06/20/21,795,2
06/27/21,659,3
07/04/21,587,1
07/11/21,784,9
07/18/21,860,26
07/25/21,972,33
08/01/21,1477,62
08/08/21,1604,41
08/15/21,1821,60
08/22/21,2818,75
08/29/21,7471,193
09/05/21,7013,156
09/12/21,7885,107
09/19/21,6699,79
09/26/21,6287,86
10/03/21,5438,86
10/10/21,6278,82
10/17/21,4256,72
10/24/21,4792,108
10/31/21,6789,243
11/07/21,6597,209
11/14/21,7559,180
11/21/21,4617,124
11/28/21,6078,159
